德罗	1
狄德罗	1
倡导	6
相吻	3
吻合	9
相吻合	3
十九	14
九世	14
九世纪	14
十九世纪	13
俄国	9
理论家	14
自觉	43
标举	1
现	14
别林斯	2
林斯基	2
别林斯基	2
应对	4
予以	10
创造性	21
须	12
描画	1
司汤达	1
巴尔	6
巴尔扎	3
福楼拜	1
持	9
相似	8
看法	12
论是	1
占	13
主导地位	2
否定	21
有表	1
侧重于	2
本根	1
源于	23
本心	3
简单	38
外物	13
乐记	4
之命	1
之纪	1
人情	9
不能	111
免也	1
点明	1
志	25
歌咏	2
其声也	1
动其容也	1
三者	2
从之	1
通过观察	1
受	12
感动	8
触发	3
会意	2
起兴	1
诉诸	4
传达	14
古人	10
政事	1
兴废	2
人身	1
祸福	2
雷风	1
之震飒	1
云雨	1
施行	1
山水	7
巍峨	1
洋溢	1
幽芳	1
荣谢	1
鸟兽	2
昆虫	1
飞鸣	1
翔舞	1
之于	26
宣之于	2
以传	1
神而会	1
其意	4
者焉	1
外界	2
人事	6
都可	1
得到	50
神	57
方可	2
宣	2
着眼于	9
泾渭	1
分明	5
泾渭分明	1
唯其	1
唯其如此	1
从不	4
体物	1
诗学	17
情志	5
定为	3
受外物	2
感发	3
一大	10
刘勰	3
论诗	3
情由	1
对物	1
精采	2
他说	7
代序	1
阴阳	11
物色	3
之动	1
心亦摇焉	1
相召	1
获安	1
迁	2
辞以	1
情发	1
感物	2
联类	1
不穷	1
禀	1
七情	2
应物	4
应物斯感	1
感物吟志	1
莫非	1
神思	7
妙	6
游	7
心灵	31
表明	24
动	7
吟	1
言词	2
产物	19
摇	1
不安	3
动力	11
心与物	1
交感	3
感应	3
朱熹	3
而静	1
天之性也	1
感	21
性之欲	1
夫	14
既有	30
欲	14
无思	1
思矣	1
无言	3
尽而	1
发于	2
咨	1
嗟	1
咏叹	2
余者	1
必有	3
音响	11
节族	1
此诗	1
作也	1
最初	7
缘起	3
动因	4
形成	82
兴会	2
其实	41
岂	4
诗源	1
于心	1
而动	2
亦然	2
神马	1
物游	2
古典艺术	1
精义	3
而轻	1
抒写	4
表现性	9
情性	7
抒情性	7
诚挚	5
仍以	2
为例	13
统治	14
尚书	2
尧典	2
诗言志	5
声依咏	1
和声	2
律和声	1
文	43
子	7
诗以言志	1
以文害辞	1
不以	5
辞害志	1
以意逆志	1
得之	2
侧面	7
肯定	20
承认	14
兼有	1
藏于心	1
记忆	7
含义	18
志向	1
志趣	1
抱负	2
论语	8
此义	1
汉	10
司马	6
司马迁	4
改为	2
意	17
班固	3
也说	3
达意	2
郑玄	1
释	6
言人	1
之志意	1
确实	32
表	6
意志	16
判然	2
有别	6
的诗	3
画	50
乐都	1
胸	1
臆	1
不求	3
外表	2
形似	6
宋	8
郭熙	1
应以	2
林泉之	1
画意	4
意在	9
意在笔先	1
养	4
胸中	5
宽快	1
悦适	1
油然	1
心生	2
之心生	1
笑	4
啼	1
情状	3
物之央斜	1
偃侧	1
列于	1
而列于	1
心中	7
不觉	7
见之于	1
笔下	8
苏轼	82
更重	1
他作	1
肺腑	2
撰文	1
直抒	1
胸襟	3
万	1
斛	1
泉涌	1
不择	3
地而出	2
绘画	45
不重	4
而重	2
意趣	3
他嘲	1
见	42
儿童	4
邻	4
士人	1
如阅	1
马	14
取其	2
意气	2
所到	1
元	14
云林	1
倪云林	1
仆	1
画者	1
逸	2
笔	5
草草	1
聊以	2
自娱	9
聊以自娱	1
耳	10
余	4
竹	10
写	29
逸气	1
岂复	3
其似	1
与非	2
清	5
石涛	2
揭	2
须眉	2
一须	1
二须	1
修辞	2
立其诚	1
诗文	4
真诚	5
恳切	1
逼肖	1
之真	1
一要	1
真诚地	1
发自	5
自内心	3
发自内心	3
二要	1
然	10
任性	1
精诚	2
精不诚	1
动人	6
在内	8
神动于	1
贵真	3
受于	2
易	3
圣人	7
于俗	2
应顺以	1
矫饰	1
不失	3
性命	2
之情	2
游刃	3
有余	6
游刃有余	3
归真	3
返朴归真	3
一层	7
乃是	12
必然结果	3
上面	5
论述	27
包含	10
差	2
异	3
答案	2
中重	1
描摹	6
造型	25
造型艺术	14
较大	5
当时	46
不开	17
分不开	7
人体	8
科学研究	2
雕刻家	2
波里	1
法规	1
具体	74
体美	1
人体美	1
三个	20
头	5
全身	4
比例	8
心在	1
一只	4
脚上	1
动作	7
肌肉	1
变化	61
黄金	4
分割	2
黄金分割	1
最美	1
匀称	1
分工	10
紧密	11
解	5
崛起	6
说得好	2
敏感	9
希腊人	3
天生	2
特长	1
来源	8
来源于	3
同样	43
解释	33
钥匙	1
悲剧	28
英雄人物	3
特别	63
之分	2
风格	72
美观	8
审美观	7
渗透到	2
行动	9
要素	9
基本要素	1
同步	2
于同	1
照方	1
式	36
不出	4
看不出	1
实情	2
真实情况	1
事实	47
民族	130
特性	29
展现	7
观念	104
领会	1
采用	17
共同	17
显然	38
之上	11
下则	1
前面	5
讲	16
亲	7
造成	20
太	11
两门	2
写志	1
薄弱	4
已如	1
前述	2
原因	26
性质	31
等客	1
全然	3
全然不同	1
选择	42
类	22
钟鼓	1
道志	1
琴瑟	1
乐心	2
生也	1
生	30
情动于	1
故形	1
于声	1
成文	3
人有	4
哀	3
其声	6
噍	1
以杀	1
感者	2
缓	2
喜	2
发以散	1
怒	4
粗	2
以厉	1
直	5
以廉	1
爱心	1
以柔	1
切合	2
回避	12
始皇	4
秦始皇	2
陵墓	1
发掘	12
大批	3
武士	1
俑	1
出土	9
高水平	3
对此	24
葬品	1
现实生活	21
普遍	50
接受	48
墓葬	1
仪式	12
需	4
希冀	1
死后	1
享有	5
现世	13
权力	9
状况	15
特殊	58
皇权	1
需求	18
表示	5
第三	24
强制性	2
制作	9
证明	26
取向	14
正常	6
秦汉	2
未	15
趋于	3
衰落	3
根本性	5
阐述	8
不妥	1
之处	19
欢迎	4
方家	1
批评	57
指正	1
批评指正	1
注释	15
商务	3
印书	5
书馆	4
印书馆	3
商务印书馆	3
年载	1
第卷第	1
恩格	17
格斯	18
恩格斯	17
选集	4
卷	62
吕氏春秋	3
百乐	1
篇	9
容	4
庚	1
商周	1
彝器	1
通考	1
哈佛	1
燕	1
学社	1
年版	14
左传	7
文公	1
七年	5
襄公	3
二十	17
九年	2
二十九	1
十九年	1
二十九年	1
大司乐	1
秦伯	1
佾	1
述而	1
娄上	1
十一	4
四十一	1
章	3
至乐	1
知	10
为政	2
三卷	3
第三卷	3
思想史	2
论集	2
年	131
版	19
原著	3
选读	1
上卷	4
一文	9
十五	11
二十五	5
秋水	1
齐物	2
阳货	1
告子上	1
公孙	3
公孙丑	1
文论	3
选	3
译文	4
出版	129
出版社	73
上海译文出版社	3
诃德	4
吉诃德	4
堂吉诃德	3
序	6
译丛	1
册	3
